Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Zarejestrowany w Polsce,Stan,Wersja,Generacja,Metalik,Pierwsza rejestracja,Bezwypadkowy,Kod Silnika,Możliwość finansowania,Faktura VAT,Leasing,Numer rejestracyjny pojazdu,Serwisowany w ASO,Kraj pochodzenia,Pierwszy właściciel,VAT marża,Miesięczna rata,lub do (przebieg km),Filtr cząstek stałych,Emisja CO2,Perłowy,Homologacja ciężarowa,Akryl (niemetalizowany),Gwarancja dealerska (w cenie),Uszkodzony,Tuning,VIN,Matowy,Okres gwarancji producenta,Kierownica po prawej (Anglik),Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Zarejestrowany jako zabytek
30800PLN,Osoby prywatnej,Osobowe,Kia,Pro_cee'd,2013,75 000 km,1 582 cm3,Diesel,111 KM,Manualna,Na przednie koła,Kompakt,3,5,Biały,Tak,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10600PLN,Osoby prywatnej,Osobowe,Opel,Corsa,2007,63 000 km,1 229 cm3,Benzyna,80 KM,Manualna,Na przednie koła,Auta miejskie,3,5,Srebrny,Tak,Używane,1.2 16V Enjoy,D (2006-2014),Tak,29/12/2007,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,
89790PLN,Osoby prywatnej,Osobowe,BMW,Seria 5,2015,151 000 km,1 995 cm3,Diesel,184 KM,Automatyczna,4x4 (dołączany automatycznie),Sedan,,,Biały,Tak,Używane,F10/F11 (2009-2017),F10/F11 (2009-2017),,,Tak,520,Tak,Tak,Tak,WB908AP,Tak,,,,,,,,,,,,,,,,,,,,,
58500PLN,Osoby prywatnej,Osobowe,Chrysler,Town & Country,2014,158 000 km,3 605 cm3,Benzyna+LPG,283 KM,Automatyczna,Na przednie koła,Minivan,5,7,Srebrny,Tak,Używane,,II (2001-),Tak,,,,,,,,,Stany Zjednoczone,Tak,,,,,,,,,,,,,,,,,,,
17900PLN,Osoby prywatnej,Osobowe,Ford,Galaxy,2006,224 000 km,1 997 cm3,Diesel,140 KM,Manualna,Na przednie koła,Minivan,5,7,Czarny,,Używane,2.0 TDCi Ghia,Mk2 (2006-2015),Tak,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,
13900PLN,Osoby prywatnej,Osobowe,Suzuki,Swift,2008,119 200 km,1 586 cm3,Benzyna,125 KM,Manualna,Na przednie koła,Auta miejskie,3,5,Srebrny,Tak,Używane,1.6 Sport,IV (2004-2010),Tak,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
43000PLN,Firmy,Osobowe,Peugeot,3008,2014,61 326 km,1 598 cm3,Benzyna,120 KM,Manualna,Na przednie koła,SUV,5,5,Srebrny,Tak,Używane,,I (2009-2016),Tak,30/05/2014,,,Tak,,Tak,,Tak,Polska,Tak,,256 PLN,,,,,,,,,,,,,,,,,
21900PLN,Osoby prywatnej,Osobowe,Opel,Meriva,2011,154 000 km,1 400 cm3,Benzyna,120 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Szary,,Używane,,II (2010-),,,Tak,,Tak,,Tak,,Tak,Niemcy,,Tak,,,,,,,,,,,,,,,,,,
22500PLN,Osoby prywatnej,Osobowe,Volkswagen,Golf,2010,170 000 km,1 968 cm3,Diesel,140 KM,Manualna,,Kompakt,5,,Niebieski,,Używane,,VI (2008-2013),,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
17500PLN,Osoby prywatnej,Osobowe,BMW,Seria 3,2007,314 107 km,1 995 cm3,Diesel,163 KM,Manualna,Na tylne koła,Kombi,5,5,Czarny,,Używane,,E90/E91/E92/E93 (2005-2012),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
